Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price GBP,Extended Price GBP
1,4,811-2374-ND,DC/DC CONVERT +/-5V 100MA 1W SMD,U1,4,0,5.39,21.56
2,4,ADUM1250ARZ-ND,DGTL ISO 2.5KV 2CH I2C 8SOIC,U2,4,0,4.17,16.68
3,4,MCP4017T-104E/LTCT-ND,IC DGTL POT 100K 128TAPS SC70-6,U3,4,0,0.38,1.52
4,4,497-7040-1-ND,IC OPAMP JFET 4MHZ 8SO,U4,4,0,0.41,1.64
5,4,296-17098-1-ND,IC VREF SERIES 3V SOT23-3,U5,4,0,1.93,7.72
6,4,MCP3221A5T-I/OTCT-ND,IC ADC 12BIT 2.7V 1CH LP SOT23-5,U6,4,0,1.05,4.2
7,20,399-15351-1-ND,CAP CER 0.1UF 6.3V X7R 0603,"C1,C2,C5,C6,C9",20,0,0.165,3.3
8,12,399-8014-1-ND,CAP CER 10UF 6.3V X5R 0805,"C3,C4,C7",12,0,0.126,1.51
9,4,399-15379-1-ND,CAP CER 220PF 10V X7R 0603,C8,4,0,0.23,0.92
10,4,ARF1065-ND,CONN BNC JACK R/A 50 OHM PCB,J2,4,0,2.82,11.28
11,8,811-2473-1-ND,FIXED IND 10UH 500MA 400 MOHM,"L1,L2",8,0,0.23,1.84
12,12,541-4040-1-ND,RES SMD 3K OHM 1% 1/10W 0603,"R1,R2,R9",12,0,0.019,0.23
13,12,541-2201-1-ND,RES SMD 4.7K OHM 1% 1/10W 0603,"R4,R5,R6",12,0,0.056,0.67
14,4,311-10KDCT-ND,RES SMD 10K OHM 0.5% 1/10W 0603,R7,4,0,0.08,0.32
15,8,311-2103-1-ND,RES SMD 100K OHM 0.5% 1/10W 0603,"R8,R10",8,0,0.11,0.88
16,4,311-1.0KDCT-ND,RES SMD 1K OHM 0.5% 1/10W 0603,R11,4,0,0.08,0.32
17,4,311-499DCT-ND,RES SMD 499 OHM 0.5% 1/10W 0603,R12,4,0,0.08,0.32
